"x","y","2.5%","97.5%"
1,1,37.053375,65.95935
1,2,-6.430375,16.5954
1,3,7.48015,32.502775
1,4,-4.722975,17.018775
1,5,9.2804,27.824325
1,6,2.4394,32.16505
1,7,5.586575,26.272525
1,8,1.059775,19.012875
1,9,6.298225,30.48535
1,10,-15.715675,8.70967499999998
2,1,-6.430375,16.5954
2,2,34.3024,68.435675
2,10,-36.038175,-9.021975
3,1,7.48015,32.502775
3,3,43.584575,98.53465
3,10,-23.896775,0.548024999999979
4,1,-4.722975,17.018775
4,4,29.10855,59.3915
4,10,-25.726375,-9.178525
5,1,9.2804,27.824325
5,5,34.71845,69.42065
5,10,-11.7119,3.16177499999999
6,1,2.4394,32.16505
6,6,68.942775,152.979375
6,10,-51.110275,-19.33905
7,1,5.586575,26.272525
7,7,49.59825,100.966325
7,10,-35.423775,-11.591575
8,1,1.059775,19.012875
8,8,38.82735,72.23235
8,10,-31.192125,-11.085925
9,1,6.298225,30.48535
9,9,50.62065,103.782775
9,10,-31.619475,-8.04735000000001
10,1,-15.715675,8.70967499999998
10,2,-36.038175,-9.021975
10,3,-23.896775,0.548024999999979
10,4,-25.726375,-9.178525
10,5,-11.7119,3.16177499999999
10,6,-51.110275,-19.33905
10,7,-35.423775,-11.591575
10,8,-31.192125,-11.085925
10,9,-31.619475,-8.04735000000001
10,10,50.612475,87.058075
