"lambda","variable","inverse_covariance"
0,"V1",57.1758536032007
0.01,"V1",20.2790882739524
0.0166810053720006,"V1",15.388561612896
0.0278255940220712,"V1",11.1462772454717
0.0464158883361278,"V1",7.73092114537847
0.0774263682681127,"V1",5.05412569823274
0.129154966501488,"V1",3.15256079688237
0.215443469003188,"V1",1.88317574490339
0.359381366380463,"V1",1.08385473482298
0.599484250318941,"V1",0.610493944260655
1,"V1",0.372742515950813
1.66810053720006,"V1",0.27081254006646
2.78255940220712,"V1",0.205755835251068
4.64158883361278,"V1",0.14882852424131
7.74263682681127,"V1",0.101832348946198
12.9154966501488,"V1",0.0666960689094404
21.5443469003188,"V1",0.0423437047111005
35.9381366380463,"V1",0.026307064781723
59.9484250318941,"V1",0.0161153561516781
100,"V1",0.00979587319629106
0,"V2",51.4772280209205
0.01,"V2",24.0712306914694
0.0166810053720006,"V2",18.2075928832552
0.0278255940220712,"V2",13.0887598103007
0.0464158883361278,"V2",8.94374224258876
0.0774263682681127,"V2",5.88355165668051
0.129154966501488,"V2",3.77848855643375
0.215443469003188,"V2",2.39812072649753
0.359381366380463,"V2",1.52541297336329
0.599484250318941,"V2",0.989747325998819
1,"V2",0.674400082567932
1.66810053720006,"V2",0.464910142810392
2.78255940220712,"V2",0.306239990155932
4.64158883361278,"V2",0.195146246142099
7.74263682681127,"V2",0.121573656556379
12.9154966501488,"V2",0.0746354421266548
21.5443469003188,"V2",0.0453945181458255
35.9381366380463,"V2",0.0274566353858934
59.9484250318941,"V2",0.0165502368468312
100,"V2",0.00995245692846551
0,"V3",70.7251458248522
0.01,"V3",26.1743041948903
0.0166810053720006,"V3",19.5850858406023
0.0278255940220712,"V3",13.7636606680088
0.0464158883361278,"V3",9.17766871638483
0.0774263682681127,"V3",5.93343577663327
0.129154966501488,"V3",3.76202052692055
0.215443469003188,"V3",2.36687475026787
0.359381366380463,"V3",1.49622189805499
0.599484250318941,"V3",0.965847686047919
1,"V3",0.654609596589374
1.66810053720006,"V3",0.455179549253241
2.78255940220712,"V3",0.301987201900674
4.64158883361278,"V3",0.193410865892199
7.74263682681127,"V3",0.120897425578648
12.9154966501488,"V3",0.0743804308476605
21.5443469003188,"V3",0.0453027689138007
35.9381366380463,"V3",0.0274218656429894
59.9484250318941,"V3",0.0165420839871749
100,"V3",0.00994784327120753
0,"V4",45.5895452972802
0.01,"V4",23.4139927377132
0.0166810053720006,"V4",17.2723117826772
0.0278255940220712,"V4",12.5327876298404
0.0464158883361278,"V4",8.64135137743195
0.0774263682681127,"V4",5.71113446240887
0.129154966501488,"V4",3.67622470666562
0.215443469003188,"V4",2.3360886075654
0.359381366380463,"V4",1.48626059096907
0.599484250318941,"V4",0.963387171171983
1,"V4",0.654780780710963
1.66810053720006,"V4",0.455278039969836
2.78255940220712,"V4",0.302030552779097
4.64158883361278,"V4",0.193428649137155
7.74263682681127,"V4",0.12090437553853
12.9154966501488,"V4",0.0743830571342446
21.5443469003188,"V4",0.0453036872547093
35.9381366380463,"V4",0.0274222254616357
59.9484250318941,"V4",0.0165421864357546
100,"V4",0.00994789554586381
0,"V5",51.1654871847421
0.01,"V5",24.6164201443891
0.0166810053720006,"V5",18.300103333672
0.0278255940220712,"V5",13.2758042539737
0.0464158883361278,"V5",9.13980207989465
0.0774263682681127,"V5",6.04479155801482
0.129154966501488,"V5",3.89549962642606
0.215443469003188,"V5",2.47918101531003
0.359381366380463,"V5",1.58124428217225
0.599484250318941,"V5",1.0295169736343
1,"V5",0.704241262526115
1.66810053720006,"V5",0.478922375783381
2.78255940220712,"V5",0.312258590926884
4.64158883361278,"V5",0.19756977798981
7.74263682681127,"V5",0.122511797845915
12.9154966501488,"V5",0.074987237612705
21.5443469003188,"V5",0.0455225028017982
35.9381366380463,"V5",0.0275060054685409
59.9484250318941,"V5",0.0165616436638462
100,"V5",0.00995790025281627
0,"V6",106.786785933438
0.01,"V6",30.3199711004513
0.0166810053720006,"V6",22.6885686379988
0.0278255940220712,"V6",15.0625400821194
0.0464158883361278,"V6",9.68513760010231
0.0774263682681127,"V6",6.09442840057669
0.129154966501488,"V6",3.79582175309788
0.215443469003188,"V6",2.36096383708943
0.359381366380463,"V6",1.48118351301527
0.599484250318941,"V6",0.950844473856729
1,"V6",0.641066818822755
1.66810053720006,"V6",0.448024165834057
2.78255940220712,"V6",0.298820701587961
4.64158883361278,"V6",0.192106403590817
7.74263682681127,"V6",0.120386551029444
12.9154966501488,"V6",0.0741869772264653
21.5443469003188,"V6",0.0452334333532432
35.9381366380463,"V6",0.0273959745923065
59.9484250318941,"V6",0.01653331818177
100,"V6",0.00994420690061675
0,"V7",85.9721862296434
0.01,"V7",27.5952548200302
0.0166810053720006,"V7",20.2791571250004
0.0278255940220712,"V7",13.913176101065
0.0464158883361278,"V7",9.15799508607468
0.0774263682681127,"V7",5.85722695134072
0.129154966501488,"V7",3.68609502679531
0.215443469003188,"V7",2.30789616828014
0.359381366380463,"V7",1.45339417826638
0.599484250318941,"V7",0.934656054995787
1,"V7",0.630138638523372
1.66810053720006,"V7",0.44223582069568
2.78255940220712,"V7",0.296234417769575
4.64158883361278,"V7",0.191033104014344
7.74263682681127,"V7",0.119964521827471
12.9154966501488,"V7",0.074026654831868
21.5443469003188,"V7",0.0451760681989227
35.9381366380463,"V7",0.027374836406842
59.9484250318941,"V7",0.0165261776579425
100,"V7",0.00994114001422308
0,"V8",54.0660559178797
0.01,"V8",24.3365115882522
0.0166810053720006,"V8",17.8536870324959
0.0278255940220712,"V8",12.6826348435363
0.0464158883361278,"V8",8.5896359329127
0.0774263682681127,"V8",5.59791202205226
0.129154966501488,"V8",3.56646852416844
0.215443469003188,"V8",2.25016367284124
0.359381366380463,"V8",1.4235486189195
0.599484250318941,"V8",0.917566568778079
1,"V8",0.618795371879111
1.66810053720006,"V8",0.436061485470287
2.78255940220712,"V8",0.293450929600486
4.64158883361278,"V8",0.189870043590849
7.74263682681127,"V8",0.119505438251294
12.9154966501488,"V8",0.073851724328694
21.5443469003188,"V8",0.0451136224145708
35.9381366380463,"V8",0.0273520322325692
59.9484250318941,"V8",0.0165185447888343
100,"V8",0.00993759625602952
0,"V9",90.2798531098943
0.01,"V9",27.8664885791005
0.0166810053720006,"V9",20.6637751775145
0.0278255940220712,"V9",14.1241728222624
0.0464158883361278,"V9",9.25088030422068
0.0774263682681127,"V9",5.89965399633347
0.129154966501488,"V9",3.70723808566536
0.215443469003188,"V9",2.3182013555408
0.359381366380463,"V9",1.458819014849
0.599484250318941,"V9",0.937834381863491
1,"V9",0.632287694627608
1.66810053720006,"V9",0.443394606025667
2.78255940220712,"V9",0.296753966190319
4.64158883361278,"V9",0.191249287494313
7.74263682681127,"V9",0.120049648598936
12.9154966501488,"V9",0.0740590257916795
21.5443469003188,"V9",0.0451876305656931
35.9381366380463,"V9",0.027379081112563
59.9484250318941,"V9",0.016527341852916
100,"V9",0.00994176900635774
0,"V10",73.7670566857207
0.01,"V10",22.621400432832
0.0166810053720006,"V10",17.935081215123
0.0278255940220712,"V10",12.5970600773579
0.0464158883361278,"V10",8.50062775452848
0.0774263682681127,"V10",5.44634906493387
0.129154966501488,"V10",3.34150056244315
0.215443469003188,"V10",1.9675517876931
0.359381366380463,"V10",1.11518951959994
0.599484250318941,"V10",0.613121846742422
1,"V10",0.357718991838809
1.66810053720006,"V10",0.259932990680178
2.78255940220712,"V10",0.199327201842542
4.64158883361278,"V10",0.145436759694651
7.74263682681127,"V10",0.100231195033332
12.9154966501488,"V10",0.0660070478344831
21.5443469003188,"V10",0.0420530277426251
35.9381366380463,"V10",0.0261942667327168
59.9484250318941,"V10",0.0160676449918425
100,"V10",0.00977985247823502
