"lambda_search","neglik_vector"
0,-214.389921317281
0.01,-216.264696624048
0.0166810053720006,-200.418729831003
0.0278255940220712,-180.577275349685
0.0464158883361278,-155.388597923847
0.0774263682681127,-120.231739580226
0.129154966501488,-84.1123120474771
0.215443469003188,-39.8526864191822
0.359381366380463,2.87994968760149
0.599484250318941,43.7515448757864
1,88.9370290299902
1.66810053720006,118.498919991065
2.78255940220712,150.621025676132
4.64158883361278,185.255810402688
7.74263682681127,225.009677314753
12.9154966501488,267.981747300996
21.5443469003188,314.964102870966
35.9381366380463,362.919539168127
59.9484250318941,412.14233602023
100,462.282620468281
